"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"","f12d6246-6898-490e-95c8-aa3b66c4fe7e","","","","","","SQ5722828","Metal","Bronze","","","","","78.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"5f406e8e3a78755690e3da8c","839561b9-4405-43ee-b2c6-f87d6c903732","PHYSICAL","shop","galaxia-double-finger-ring","Galaxia Double-Finger Ring","<p class="""" style=""white-space:pre-wrap;"">One ring that packs a punch filled with 24k gold leaf. The Galaxia Double-Finger ring proves glitter is gold!</p><p class="""" data-rte-preserve-empty=""true"" style=""white-space:pre-wrap;""></p><p class="""" style=""white-space:pre-wrap;""><strong>Material:&nbsp;sterling silver,&nbsp;24k gold-leaf set in resin</strong></p>","SQ5633224","","","","","","","128.00","0.00","No","Unlimited","New to shop, Rings","statement ring, double-finger ring","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5f406eca26f6c17cdfddd43d/1598059226662/IMG_0352.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5f406ecaf186f763e21ff909/1598059271482/IMG_0353.jpg"
"5f40a85d3a78755690e8f851","935c76cd-c41f-4d05-bd39-32009e1f9475","PHYSICAL","shop","every-occasion-card","Any Occasion Card","<p class="""" style=""white-space:pre-wrap;"">Cards are hand-printed &amp; painted with love by our very own Emily Kane.</p><p class="""" data-rte-preserve-empty=""true"" style=""white-space:pre-wrap;""></p><p class="""" style=""white-space:pre-wrap;""><em>20 lb card stock, limited edition</em></p><p class="""" style=""white-space:pre-wrap;""><em>Blank on the inside</em></p>","SQ7431306","Color","Pale Pink Stripe","","","","","5.00","0.00","No","3","Gift Cards","hand-printed, hand-painted, blank card, any occasion card","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5f40ac0796cb8352b4323c24/1598076398359/e.kanecards.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5f40abfd09e9764cd3be1a70/1598074150397/e.kanecards_back.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/53b83599e4b01c43f7d9d846/5f40abfd7851a152fdf5682c/1598074106683/e.kanecards_closeup.jpg"
"","b88c9b8d-4d20-4525-8ca5-ac87e5ae4d75","","","","","","SQ2634394","Color","Hot Pink Stripe","","","","","5.00","0.00","No","3","","","0.0","0.0","0.0","0.0","",""
"","40b6ed8c-a3fc-44e5-9c85-74f13ee0e4bc","","","","","","SQ1505634","Color","Plaid Swatch","","","","","5.00","0.00","No","3","","","0.0","0.0","0.0","0.0","",""
"53bb0ad0e4b0b023810311f6","93cd5bcb-38cc-4c93-8fd8-370e64b02c3d","PHYSICAL","archives","notch-hoops","Notch Hoops","<p style=""white-space: pre-wrap;"">The Notch Hoops illuminate at every angle from the staggered carvings.&nbsp;Wear these subtle stunners casually during the day or dressed up for a special evening out.</p><p style=""white-space: pre-wrap;""><strong>Material:&nbsp;bronze with gold-filled lever-back earring clasps</strong></p>","SQ0978318","Metal","Bronze","","","","","120.00","72.00","Yes","0","urban sherpa, notch series, arc collection","classic hoop dangle light-weight textured daily-wear day-to-evening","0.7","6.0","6.0","6.0","No","https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/56450105e4b06e8555837d4b/5511db93e4b01593abac9b1a/1540785182588/DDR_NOTCHHOOP.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/56450105e4b06e8555837d4b/5640da8ae4b08c9445a45202/1540785182587/nothoopss_arcrngss.jpg"
"53bc4b5ae4b0eb51cfdb7e88","35deb28e-fbe2-4cbf-b79f-88e0f5e567b2","PHYSICAL","archives","spoons-necklace","Spoons Necklace","<p>This necklace consists of three nesting spoons. The brushed finish is contrasted with the speckled, swirly, rosy to bluish hues of the fire scale left behind from the soldering process in the bowls of each spoon.</p><p> </p><p><strong>Materials: bronze or sterling silver spoons, sterling silver chain</strong></p><p><strong>Measurements:&nbsp;pendant- 3""L x 3/4""W, 19""L chain</strong></p>","SQ9926645","Metal","Bronze","","","","","96.00","0.00","No","Unlimited","small objects","nesting spoons, firescale bowls, bronze, small objects","0.5","6.0","6.0","6.0","No","https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/56450105e4b06e8555837d4b/53bc4fc8e4b0eb57996ed0cd/1451370474323/IMG_0966.JPG https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/56450105e4b06e8555837d4b/53bc4b62e4b0c6cff12920bb/1451370474314/DDR_SPOONS1.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/56450105e4b06e8555837d4b/564106fbe4b0c8d9d7536086/1451370474319/spoon.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/56450105e4b06e8555837d4b/5670621b7086d761fddb4d17/1451370474293/DDR-spoons3.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/56450105e4b06e8555837d4b/564106b0e4b08472d6d64ead/1451370474302/spoonscloseup.jpg"
"","ba8966e1-0878-4440-a9d1-9d859b368beb","","","","","","SQ9594902","Metal","Sterling Silver","","","","","118.00","0.00","No","Unlimited","","","0.5","6.0","6.0","6.0","",""
"53ca8bd0e4b02a3a05295113","cfb6ea1e-645d-4c2a-a7e5-f8d505f70d8b","PHYSICAL","archives","woven-nexus-ring-demure-de-rigueur","Woven Nexus Ring","<p>The hand-woven wire center piece seamlessly adds texture to a streamlined band. The slim and simple Woven Nexus ring is a delicate accessory for daily wear.</p><p> </p><p><strong>Materials:&nbsp;20 gauge wire sterling silver round wire,&nbsp;20 gauge bronze band</strong></p>","SQ7935127","Size","4","","","","","62.00","0.00","No","0","","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/56450105e4b06e8555837d4b/53d7ef61e4b0733761a1caf6/1406660502827/DDR_WOVENRNG2.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/56450105e4b06e8555837d4b/53d7edd4e4b072f44b8764fa/1406660053704/DDR_WOVENRNG1.jpg https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/56450105e4b06e8555837d4b/53ca8c30e4b014ac66b7c90a/1405783112590/photo+1+copy.JPG https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/56450105e4b06e8555837d4b/53ca92eae4b00a460e55c922/1405784833612/flatwovennexus.JPG https://static1.squarespace.com/static/53a63965e4b0a2a8b882c109/56450105e4b06e8555837d4b/53ca9340e4b0efb67d6c8332/1405784931955/wovennexuspencil.JPG"
"","d7dce36b-283b-4fc8-80dd-babd5d4abe39","","","","","","SQ6261833","Size","5","","","","","62.00","0.00","No","0","","","0.0","0.0","0.0","0.0","",""
